outcome,outcome_type,x_var,contrast,mediator,n,ACME_control,ACME_treated,ACME_avg,ACME_avg_CI_low,ACME_avg_CI_high,ACME_avg_p,ADE_control,ADE_treated,ADE_avg,ADE_avg_CI_low,ADE_avg_CI_high,ADE_avg_p,Total_Effect,Total_Effect_CI_low,Total_Effect_CI_high,Total_Effect_p,Prop_Mediated_control,Prop_Mediated_treated,Prop_Mediated_avg,Prop_Mediated_avg_CI_low,Prop_Mediated_avg_CI_high,ACME_sig,ADE_sig,Prop_Mediated_sig,Prop_Mediated_formatted
IFG,binary,psd_Serum_Zn,1 vs 0,g_Prauseria,2670,-1.0161449976375759e-5,-1.0457048472514619e-5,-1.0309249224445188e-5,-2.69662556013721e-4,2.93787868120758e-4,0.994,0.002249288552917266,0.0022489929544211276,0.0022491407536691967,-0.008880503990670734,0.014281809547202236,0.716,0.0022388315044447517,-0.00881004807228423,0.014330917792609189,0.72,-0.004538729223794749,-0.0046707617128641625,-0.0046047454683294554,-0.18614550770722987,0.31285834934630496,,,,-0.46% (-18.61% to 31.29%)
IFG,binary,psd_Serum_Zn,1 vs 0,g_SMB53,2670,1.6097751669483874e-4,1.651515673961584e-4,1.6306454204549858e-4,-1.3126617033781474e-4,6.073044960702508e-4,0.354,0.002003760189461414,0.0020079342401627337,0.0020058472148120738,-0.008795482107407333,0.014989880523133436,0.716,0.002168911756857572,-0.008639547013297812,0.015020508932886796,0.68,0.07422040854629836,0.07614489933672462,0.0751826539415115,-0.41200590617186794,0.6156907993156383,,,,7.52% (-41.20% to 61.57%)
IFG,binary,psd_Serum_Zn,1 vs 0,g_Bilophila,2670,-1.1167050431084006e-4,-1.1522550372846929e-4,-1.1344800401965467e-4,-6.00817525387911e-4,2.3048504146400294e-4,0.516,0.002480379153526054,0.002476824154108425,0.0024786016538172395,-0.008359887828599834,0.014813118347735662,0.702,0.0023651536497975847,-0.008412086396662525,0.014701553146818029,0.718,-0.047214904756989924,-0.048717978106128774,-0.04796644143155935,-0.4831713310013705,0.34156628136698225,,,,-4.80% (-48.32% to 34.16%)
IFG,binary,psd_Serum_Zn,1 vs 0,g_Sediminibacterium,2670,-0.0017111135897925412,-0.0017953398412372643,-0.0017532267155149026,-0.003052017276879687,-7.357430443237992e-4,0,0.003801854280884799,0.003717628029440075,0.003759741155162437,-0.007005914662138951,0.015979943359302046,0.544,0.0020065144396475346,-0.008553609617137782,0.014508319548482264,0.738,-0.85277910588728,-0.8947555052495085,-0.8737673055683943,-4.4737075690659145,3.38054059759114,*,,,-87.38% (-447.37% to 338.05%)
IFG,binary,psd_Serum_Zn,1 vs 0,g_Bradyrhizobium,2670,-0.0012955297614506396,-0.0013527445293203403,-0.00132413714538549,-0.0025156070378895045,-3.936493090191811e-4,0.002,0.0034413269224984008,0.0033841121546287,0.0034127195385635503,-0.0076217454880857585,0.01581210517306099,0.562,0.0020885823931780603,-0.008705819537139533,0.014338059433254802,0.728,-0.6202914310118818,-0.6476854989005039,-0.6339884649561929,-2.960554640836708,3.3391274456421374,*,,,-63.40% (-296.06% to 333.91%)
IFG,binary,psd_Serum_Zn,1 vs 0,g_Pseudidiomarina,2670,3.727750511641844e-4,3.8071783233147255e-4,3.767464417478285e-4,-1.9519377351925394e-4,0.0011081620830930364,0.19,0.0016410320372351364,0.0016489748184024247,0.0016450034278187805,-0.009410284988882509,0.014076454812879223,0.774,0.002021749869566609,-0.00925314489106879,0.014639567104076214,0.738,0.18438237923274556,0.1883110458234306,0.1863467125280881,-0.8161986283806921,0.7892315816282081,,,,18.63% (-81.62% to 78.92%)
IFG,binary,psd_Serum_Zn,1 vs 0,g_Ralstonia,2670,-0.001859772169037101,-0.001955326277682202,-0.0019075492233596517,-0.0033487601219909387,-8.210208501389521e-4,0.002,0.003966302529580463,0.003870748420935362,0.003918525475257913,-0.006861926051889959,0.01567320852596156,0.508,0.002010976251898261,-0.008866983007288049,0.013532174322913239,0.754,-0.9248106074259052,-0.9723268864246765,-0.9485687469252908,-5.3529623640230986,5.875616751414821,*,,,-94.86% (-535.30% to 587.56%)
IFG,binary,psd_Serum_Zn,1 vs 0,g_Phascolarctobacterium,2670,-1.5527721652812448e-4,-1.6035362243626338e-4,-1.5781541948219394e-4,-6.840070175718841e-4,2.578356818724848e-4,0.432,0.00255135351360372,0.0025462771076955808,0.0025488153106496504,-0.007981598449638055,0.014551971484397325,0.664,0.0023909998911674562,-0.00814880214631723,0.014275764764148343,0.68,-0.06494237707903328,-0.0670655080448236,-0.06600394256192843,-0.3790849200140962,0.42625173264967053,,,,-6.60% (-37.91% to 42.63%)
