outcome,outcome_type,x_var,contrast,mediator,n,ACME_control,ACME_treated,ACME_avg,ACME_avg_CI_low,ACME_avg_CI_high,ACME_avg_p,ADE_control,ADE_treated,ADE_avg,ADE_avg_CI_low,ADE_avg_CI_high,ADE_avg_p,Total_Effect,Total_Effect_CI_low,Total_Effect_CI_high,Total_Effect_p,Prop_Mediated_control,Prop_Mediated_treated,Prop_Mediated_avg,Prop_Mediated_avg_CI_low,Prop_Mediated_avg_CI_high,ACME_sig,ADE_sig,Prop_Mediated_sig,Prop_Mediated_formatted
IFG_or_T2DM,binary,psd_Serum_Zn,1 vs 0,g_Sediminibacterium,2916,-0.0013858612780464224,-0.001336180199511558,-0.0013610207387789904,-0.0029553445814693713,-1.3630362845886923e-4,0.02,-0.006771104040222149,-0.006721422961687284,-0.006746263500954717,-0.01904005095871049,0.005939586789624553,0.336,-0.008107284239733706,-0.02005993083412298,0.004150865355917537,0.236,0.17094026027289538,0.164812304589366,0.16787628243113067,-2.0799212345909392,1.7125453928811276,*,,,16.79% (-207.99% to 171.25%)
IFG_or_T2DM,binary,psd_Serum_Zn,1 vs 0,g_Bradyrhizobium,2916,-0.0013414447204837421,-0.0012929575992860903,-0.0013172011598849161,-0.0027491789261864692,-1.7673055584156597e-4,0.02,-0.006830370504784189,-0.0067818833835865365,-0.006806126944185363,-0.01977974196889898,0.006664892421433841,0.332,-0.00812332810407028,-0.021094845258289082,0.004977910663192568,0.248,0.1651348687752249,0.15916599486339106,0.162150431819308,-1.325628557079216,1.5036790656613257,*,,,16.22% (-132.56% to 150.37%)
IFG_or_T2DM,binary,psd_Serum_Zn,1 vs 0,g_Pseudidiomarina,2916,3.675654060223036e-4,3.508369024256204e-4,3.59201154223962e-4,-2.0155654439245362e-4,0.0011654937160989784,0.224,-0.008611543313645824,-0.008628271817242508,-0.008619907565444167,-0.020149688406786756,0.004667490566461203,0.236,-0.008260706411220203,-0.019708209116683934,0.005111835222390473,0.252,-0.044495638475064735,-0.04247056909674116,-0.04348310378590295,-0.535332176344672,0.4895736508571259,,,,-4.35% (-53.53% to 48.96%)
IFG_or_T2DM,binary,psd_Serum_Zn,1 vs 0,g_Ralstonia,2916,-0.0012474589543130226,-0.0012021073691871795,-0.001224783161750101,-0.002781624447508569,2.533340866853394e-4,0.116,-0.006848328983600915,-0.0068029773984750715,-0.006825653191037994,-0.020314949335627438,0.006391896371491611,0.292,-0.008050436352788095,-0.021267455165036673,0.005006646141009378,0.212,0.15495544584747784,0.14932201392671784,0.15213872988709784,-0.9430685628134486,1.7464264531766611,,,,15.21% (-94.31% to 174.64%)
IFG_or_T2DM,binary,psd_Serum_Zn,1 vs 0,g_Phascolarctobacterium,2916,-1.1449988050191894e-4,-1.0968396187364788e-4,-1.1209192118778341e-4,-6.302188936308873e-4,2.5730450962008515e-4,0.584,-0.007917312030463544,-0.007912496111835272,-0.007914904071149408,-0.020182155943449652,0.005476213679962913,0.246,-0.00802699599233719,-0.020229146507221074,0.005422723049361941,0.238,0.014264350027236083,0.01366438478085145,0.013964367404043766,-0.16093841032209744,0.214370859527045,,,,1.40% (-16.09% to 21.44%)
FPG,continuous,psd_Serum_Zn,1 vs 0,g_Prauseria,2880,-1.3524178878933891e-4,-1.3524178878931826e-4,-1.352417887893286e-4,-0.004423008226444939,0.004336517456202225,0.958,-0.07852503656894297,-0.07852503656894295,-0.07852503656894297,-0.13816081134480449,-0.0208133125426914,0.008,-0.07866027835773229,-0.13716490968288286,-0.022400295081354712,0.006,0.0017193149021706288,0.0017193149021703662,0.0017193149021704976,-0.06756582667004246,0.08041433667248776,,*,,0.17% (-6.76% to 8.04%)
FPG,continuous,psd_Serum_Zn,1 vs 0,g_SMB53,2880,-0.0010161566931888913,-0.001016156693188898,-0.0010161566931888946,-0.0037194821051941976,0.0012056460423217807,0.368,-0.07764412166454313,-0.07764412166454314,-0.07764412166454313,-0.13502368008953197,-0.021107309867057385,0.004,-0.07866027835773202,-0.13615004951904486,-0.023694510691316967,0.004,0.012918295159948499,0.012918295159948585,0.012918295159948542,-0.019052378287823378,0.06957272836957987,,*,,1.29% (-1.91% to 6.96%)
FPG,continuous,psd_Serum_Zn,1 vs 0,g_Bilophila,2880,-1.796715054771821e-4,-1.7967150547719505e-4,-1.7967150547718857e-4,-0.0020842983934420425,0.001540687132631279,0.83,-0.07848060685225496,-0.07848060685225497,-0.07848060685225497,-0.134902160666268,-0.020052923795787613,0.012,-0.07866027835773215,-0.1352944831231695,-0.020115995120331527,0.012,0.002284145304699659,0.0022841453046998235,0.0022841453046997416,-0.025218668731256774,0.03324349843453385,,*,,0.23% (-2.52% to 3.32%)
FPG,continuous,psd_Serum_Zn,1 vs 0,g_Sediminibacterium,2880,-6.813284198364519e-4,-6.813284198364485e-4,-6.813284198364503e-4,-0.00603138906126163,0.004917758004240245,0.848,-0.07797894993789538,-0.07797894993789536,-0.07797894993789536,-0.1378566981715361,-0.020789907002162406,0.004,-0.07866027835773182,-0.13631718559819458,-0.022411057221593447,0.004,0.00866165787944331,0.008661657879443268,0.008661657879443289,-0.07253642828285571,0.12034282629707352,,*,,0.87% (-7.25% to 12.03%)
FPG,continuous,psd_Serum_Zn,1 vs 0,g_Bradyrhizobium,2880,-0.001179561830138466,-0.001179561830138465,-0.0011795618301384655,-0.006294657640314838,0.004002886379572611,0.634,-0.07748071652759321,-0.07748071652759321,-0.07748071652759321,-0.13845583770211403,-0.022401716545797545,0.006,-0.07866027835773168,-0.13805938144734467,-0.02207678418005736,0.002,0.014995647800457148,0.014995647800457135,0.014995647800457142,-0.05627300302245119,0.13627476399524183,,*,,1.50% (-5.63% to 13.63%)
FPG,continuous,psd_Serum_Zn,1 vs 0,g_Pseudidiomarina,2880,3.7647938432410795e-4,3.764793843241123e-4,3.764793843241101e-4,-0.0010156862115640734,0.00277650833937435,0.67,-0.07903675774205607,-0.07903675774205607,-0.07903675774205607,-0.1339951771257012,-0.018251511647122617,0.01,-0.07866027835773196,-0.13411328340378215,-0.017399397336661866,0.01,-0.004786143555352696,-0.004786143555352751,-0.0047861435553527235,-0.05230131882771747,0.01777571438278758,,*,,-0.48% (-5.23% to 1.78%)
FPG,continuous,psd_Serum_Zn,1 vs 0,g_Ralstonia,2880,-6.477219440405098e-4,-6.477219440405095e-4,-6.477219440405096e-4,-0.006337627859944406,0.005740164390793481,0.88,-0.07801255641369131,-0.07801255641369131,-0.07801255641369131,-0.13942241797338378,-0.02134516708682116,0,-0.07866027835773182,-0.1367369690341611,-0.022006449021332253,0,0.008234422221274058,0.008234422221274055,0.008234422221274056,-0.08823208054173706,0.13006161285987983,,*,,0.82% (-8.82% to 13.01%)
FPG,continuous,psd_Serum_Zn,1 vs 0,g_Phascolarctobacterium,2880,-6.788657574762864e-4,-6.78865757476283e-4,-6.788657574762847e-4,-0.003428885135610922,0.0012845704562913923,0.504,-0.07798141260025555,-0.07798141260025555,-0.07798141260025555,-0.14054467195605372,-0.02298229286163259,0.004,-0.07866027835773184,-0.14082497118951043,-0.023510923636974802,0.004,0.008630350307037248,0.008630350307037205,0.008630350307037227,-0.01989781760545988,0.06762234677939838,,*,,0.86% (-1.99% to 6.76%)
