"Variable","Count","Percent","Levels","Point Estimate","Lower","Upper","KM","P value","P for interaction"
"","","","Eating_time_window_cat=T1","3.01","1.79","5.08","19.18","<0.001",""
"","","","Eating_time_window_cat=T3","1.81","1.12","2.93","9.77","0.015",""
"2","11/493 (2.2%)","13.05","Eating_time_window_cat=T2","Reference","","","0.99","",""
"","","","Eating_time_window_cat=T1","6.53","1.7","25.18","13.93","0.006",""
"","","","Eating_time_window_cat=T3","0.7","0.19","2.53","5.35","0.581",""
"HBP","","","","","","","","","0.437"
"0","30/1220 (2.5%)","32.28","Eating_time_window_cat=T2","Reference","","","2.72","",""
"","","","Eating_time_window_cat=T1","5.94","1.95","18.05","23.19","0.002",""
"","","","Eating_time_window_cat=T3","1.74","0.56","5.38","2.82","0.337",""
"1","117/2559 (4.6%)","67.72","Eating_time_window_cat=T2","Reference","","","4.35","",""
"","","","Eating_time_window_cat=T1","2.75","1.53","4.93","17.83","0.001",""
"","","","Eating_time_window_cat=T3","1.96","1.16","3.31","12.49","0.011",""
"DM","","","","","","","","","0.72"
"0","72/2308 (3.1%)","61.07","Eating_time_window_cat=T2","Reference","","","2.22","",""
"","","","Eating_time_window_cat=T1","4.15","1.96","8.78","17.07","<0.001",""
"","","","Eating_time_window_cat=T3","1.81","0.88","3.74","6.88","0.107",""
"1","75/1471 (5.1%)","38.93","Eating_time_window_cat=T2","Reference","","","7.28","",""
"","","","Eating_time_window_cat=T1","2.47","1.2","5.08","23.46","0.014",""
"","","","Eating_time_window_cat=T3","1.67","0.89","3.13","12.79","0.112",""
