"Variable","Count","Percent","Levels","Point Estimate","Lower","Upper","KM","P value","P for interaction"
"","","","Eating_frequency_cat=T3","0.58","0.36","0.94","4","0.028",""
"2","11/493 (2.2%)","13.03","Eating_frequency_cat=T2","Reference","","","7.67","",""
"","","","Eating_frequency_cat=T1","0","0","0","3.7","<0.001",""
"","","","Eating_frequency_cat=T3","25.75","5.83","113.68","2.87","<0.001",""
"HBP","","","","","","","","","0.884"
"0","30/1220 (2.5%)","32.3","Eating_frequency_cat=T2","Reference","","","10.65","",""
"","","","Eating_frequency_cat=T1","1.85","0.68","5.05","6.28","0.23",""
"","","","Eating_frequency_cat=T3","0.88","0.32","2.46","2.01","0.812",""
"1","117/2559 (4.6%)","67.7","Eating_frequency_cat=T2","Reference","","","12.66","",""
"","","","Eating_frequency_cat=T1","1.14","0.68","1.92","15.4","0.607",""
"","","","Eating_frequency_cat=T3","0.62","0.37","1.04","4.79","0.068",""
"DM","","","","","","","","","0.881"
"0","72/2308 (3.1%)","60.93","Eating_frequency_cat=T2","Reference","","","12.39","",""
"","","","Eating_frequency_cat=T1","1.24","0.64","2.41","6.58","0.518",""
"","","","Eating_frequency_cat=T3","0.64","0.32","1.25","2.08","0.189",""
"1","75/1471 (5.1%)","39.07","Eating_frequency_cat=T2","Reference","","","12.93","",""
"","","","Eating_frequency_cat=T1","1.49","0.77","2.88","29.15","0.235",""
"","","","Eating_frequency_cat=T3","0.67","0.36","1.25","7.49","0.207",""
